SF,TP,CL,len_CL,len_SF
3001105,1,1000002,1,32
3001376,1,1000001,1,31
3001905,1,1000002,1,31
3000094,1,1000003,1,31
3000781,1,1000002,1,31
3000605,1,1000004,1,31
3002100,1,1000003,1,31
3000233,1,1000001,1,31
3001257,1,1000004,1,31
3000080,1,1000003,1,31
3001918,1,1000003,1,31
3000939,1,1000001,1,31
3000913,1,1000003,1,30
3000628,1,1000004,1,30
3001208,1,1000003,1,30
3000902,1,1000004,1,30
3002067,1,1000001,1,30
3000283,1,1000003,1,30
3001368,1,1000000,1,30
3000163,1,1000000,1,30
3001164,1,1000003,1,30
3000780,1,1000003,1,30
3000040,1,1000002,1,29
3000909,1,1000003,1,29
3001050,1,1000000,1,29
3000640,1,1000003,1,29
3000223,1,1000003,1,29
3001974,1,1000000,1,29
3001836,1,1000003,1,29
3000816,1,1000001,1,29
3000158,1,1000003,1,29
3000648,1,1000001,1,29
3000290,1,1000002,1,29
3000680,1,1000003,1,29
3001353,1,1000002,1,28
3000706,1,1000001,1,28
3000715,1,1000001,1,28
3000790,1,1000003,1,28
3001778,1,1000002,1,28
3000476,1,1000002,1,28
3001064,1,1000003,1,28
3000589,1,1000001,1,28
3001023,1,1000003,1,28
3001706,1,1000003,2,27
3000481,1,1000001,1,27
3001812,1,1000001,1,27
3000563,1,1000000,1,27
3000686,1,1000003,1,27
3000713,1,1000000,1,27
3000468,1,1000002,1,27
3000832,1,1000002,1,27
3000295,1,1000000,1,26
3001530,1,1000003,1,26
3000539,1,1000001,1,26
3000985,1,1000003,1,26
3000401,1,1000000,1,26
3000272,1,1000002,1,26
3001025,1,1000002,1,26
3001831,1,1000003,1,26
3001159,1,1000003,1,25
3001650,1,1000003,1,25
3001315,1,1000002,1,25
3001238,1,1000004,1,25
3000555,1,1000003,1,25
3001346,1,1000004,1,25
3000097,1,1000003,1,25
3000544,1,1000003,1,25
3000768,1,1000000,1,25
3002047,1,1000001,1,24
3001106,1,1000002,1,24
3001034,1,1000001,1,24
3000702,1,1000002,1,24
3001132,1,1000001,1,24
3000995,1,1000003,1,24
3000721,1,1000000,1,24
3001676,1,1000000,1,24
3000325,1,1000001,1,24
3002166,1,1000003,1,24
3000126,1,1000003,1,24
3000465,1,1000002,1,24
3000621,1,1000003,1,24
3001680,1,1000002,1,24
3000627,1,1000000,1,23
3002098,1,1000001,1,23
3001323,1,1000003,1,23
3000330,1,1000003,1,23
3000573,1,1000003,1,23
3000145,1,1000000,1,23
3001006,1,1000003,1,23
3000727,1,1000003,1,23
3001163,1,1000000,1,23
3000436,1,1000003,1,23
3001452,1,1000004,1,23
3000452,1,1000003,1,22
3001396,1,1000002,1,22
3001622,1,1000003,1,22
3001041,1,1000002,1,22
3000953,1,1000000,1,22
3001113,1,1000003,1,22
3001564,1,1000002,1,22
3001461,1,1000002,1,22
3000666,1,1000003,1,22
3001994,1,1000001,1,22
3001819,1,1000000,1,22
3000585,1,1000002,1,22
3001446,1,1000003,1,22
3000835,1,1000000,1,22
3000165,1,1000003,1,22
3000482,1,1000002,1,21
3000480,1,1000001,1,21
3000426,1,1000000,1,21
3000681,1,1000004,1,21
3001911,1,1000003,1,21
3000028,1,1000003,1,21
3001741,1,1000004,1,21
3001849,1,1000003,1,21
3001893,1,1000003,1,21
3000761,1,1000004,1,21
3001359,1,1000004,1,21
3000971,1,1000004,1,21
3001730,1,1000001,1,20
3000676,1,1000003,1,20
3001329,1,1000000,1,20
3001326,1,1000003,1,20
3001950,1,1000000,1,20
3001941,1,1000003,1,20
3000684,1,1000000,1,20
3001625,1,1000002,1,20
3000497,1,1000002,1,20
3002305,1,1000003,1,19
3000615,1,1000002,1,19
3000267,1,1000001,1,19
3000916,1,1000003,1,19
3000318,1,1000003,1,19
3002401,1,1000000,1,19
3001161,1,1000001,1,19
3000099,1,1000001,1,19
3000451,1,1000002,1,19
3000132,1,1000000,1,19
3002005,1,1000001,1,19
3001065,1,1000002,1,19
3000794,1,1000000,1,19
3000073,1,1000003,1,19
3002099,1,1000001,1,19
3002081,1,1000003,1,19
3001496,1,1000003,1,19
3000408,1,1000003,1,19
3000926,1,1000003,1,18
3002319,1,1000003,1,18
3000802,1,1000003,1,18
3000798,1,1000003,1,18
3000376,1,1000003,1,18
3001715,1,1000001,1,18
3001426,1,1000003,1,18
3000447,1,1000003,1,18
3000528,1,1000000,1,18
3000059,1,1000000,1,18
3001086,1,1000003,1,18
3000979,1,1000004,1,18
3001069,1,1000002,1,18
3000162,1,1000001,1,18
3000594,1,1000002,1,18
3001550,1,1000004,1,18
